,alpha,n,Causal_Effect,m_choice,Lower,Upper,NoNans
0,0.168,100,0.0,heuristic,0.14589550609960494,0.19241149732438806,0
1,0.078,100,0.0,sqrt,0.06265713824748637,0.09637446081248807,0
2,0.252,100,0.3,heuristic,0.22592093152178014,0.2799347826791758,0
3,0.03,100,0.3,sqrt,0.0208414615298878,0.04236877622621135,0
4,0.118,316,0.0,heuristic,0.09909032203862492,0.13939729872878232,0
5,0.03,316,0.0,sqrt,0.0208414615298878,0.04236877622621135,0
6,0.276,316,0.3,heuristic,0.24892475728808577,0.30493709130082763,0
7,0.12,316,0.3,sqrt,0.10086915992799844,0.14188339945022493,0
8,0.06,1000,0.0,heuristic,0.04639371903764775,0.07637808231787208,0
9,0.072,1000,0.0,sqrt,0.0573680319174057,0.08986809016219338,0
10,0.442,1000,0.3,heuristic,0.4113523377737751,0.4729923089898004,0
11,0.148,1000,0.3,sqrt,0.1268777608326068,0.17140261408530716,0
12,0.072,3162,0.0,heuristic,0.0573680319174057,0.08986809016219338,0
13,0.06,3162,0.0,sqrt,0.04639371903764775,0.07637808231787208,0
14,0.652,3162,0.3,heuristic,0.6215386494212454,0.6810525704130811,0
15,0.258,3162,0.3,sqrt,0.23141509603502994,0.2864306778722902,0
16,0.078,10000,0.0,heuristic,0.06265713824748637,0.09637446081248807,0
17,0.06,10000,0.0,sqrt,0.04639371903764775,0.07637808231787208,0
18,0.844,10000,0.3,heuristic,0.8200965246499741,0.8656188950585982,0
19,0.402,10000,0.3,sqrt,0.3719636429006246,0.4329795919312378,0
20,0.054,31622,0.0,heuristic,0.04135450923997081,0.0698645598642971,0
21,0.048,31622,0.0,sqrt,0.035966075447554556,0.06334633037999089,0
22,0.928,31622,0.3,heuristic,0.9101319098378067,0.942631968082594,0
23,0.558,31622,0.3,sqrt,0.5270076910101992,0.5886476622262242,0
